127.0.0.1 - - [01/Jun/2021:17:24:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/ HTTP/1.1" 200 22358
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/check.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/css/fontawesome-all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/js/jquery-2.2.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/js/fixed-nav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/js/SmoothScroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/js/medic.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/b3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/blog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/blog1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/b5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:10 +0530] "GET /hello_Doctor/images/bg4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:11 +0530] "GET /hello_Doctor/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:11 +0530] "GET /hello_Doctor/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:11 +0530] "GET /hello_Doctor/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:11 +0530] "GET /hello_Doctor/images/left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:11 +0530] "GET /hello_Doctor/images/right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:24 +0530] "POST /hello_Doctor/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:24 +0530] "POST /hello_Doctor/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:25 +0530] "GET /hello_Doctor/Error.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:25 +0530] "GET /hello_Doctor/css/font-awesome.min.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:25 +0530] "GET /hello_Doctor/images/error-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:25 +0530] "GET /hello_Doctor/assets/css/error.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:32 +0530] "POST /hello_Doctor/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:33 +0530] "GET /hello_Doctor/Menu.jsp HTTP/1.1" 200 16472
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:33 +0530] "GET /hello_Doctor/ViewHospital.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [01/Jun/2021:17:24:40 +0530] "GET /hello_Doctor/Patience_History.jsp?patient_email=shaliniawasthi311%40gmail.com HTTP/1.1" 200 2341
