127.0.0.1 - - [07/Sep/2021:01:27:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/ HTTP/1.1" 200 22358
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/css/fontawesome-all.css HTTP/1.1" 200 44007
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/css/style.css HTTP/1.1" 200 42615
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/check.js HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/js/fixed-nav.js HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/js/bootstrap.js HTTP/1.1" 200 115048
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/js/medic.js HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [07/Sep/2021:01:27:38 +0530] "GET /hello_Doctor/images/b3.png HTTP/1.1" 200 590739
